Designator,Footprint,Quantity,Value,LCSC Part #
"C1, C15",0603,2,10u,C19702
"C10, C16, C17, C18, C19, C2, C20, C21, C22, C25, C6, C7",0402,12,100n,C1525
"C11, C9",0805,2,10u,C440198
C12,0402,1,1n,C1523
"C13, C14",1206,2,100u,C15008
"C23, C24",0402,2,20p,C1554
C3,0402,1,2.2u,C12530
C4,1206,1,1n,C9196
"C5, C8",0805,2,100n,C28233
"D1, D2, D3",D_SOD-323,3,BAT60JFILM,C133103
D4,LED_WS2812B-2020_PLCC4_2.0x2.0mm,1,WS2812B-2020,C965555
"D5, D6",DIO-BG-SMD_4P-L4.9-W4.0-P2.54-LS7.0-BR,2,MB10F_C2491,C2491
"D7, D8",D_SMA,2,SS210,C14996
D9,SOT-23-6_L2.9-W1.6-P0.95-LS2.8-BL,1,USBLC6-2SC6,C7519
"FB1, FB2",0603,2,GZ1608D601TF,C1002
J1,IPEX-SMD_HC-RF-IPEX0303-01,1,PPS_UFL,C2894919
J5,RJ45-SMD_HC-RJ45-055-7_1,1,HC-RJ45-055-7,C3000213
L1,L_Changjiang_FXL0630,1,47u,C475913
"R1, R2, R3, R4, R6",0402,5,75,C25133
R10,0402,1,1.2,C2998063
"R13, R5",0402,2,24k,C25769
R14,0402,1,4.3k,C25899
R15,0402,1,12k,C25752
"R16, R17",0402,2,10k,C25744
R18,0402,1,10,C25077
"R19, R20",0402,2,5.1k,C25905
R7,0402,1,88.7k,C170366
TR1,B1608S,1,Ethernet Magnetics,C507596
U1,SOT-23-3,1,XC6206P332MR-G,C5446
U2,QFN-20-1EP_4x4mm_P0.5mm_EP2.6x2.6mm,1,SI3404-A-GMR,C461934
U3,QFN-68_L8.0-W8.0-P0.40-BL-EP6.7,1,CH32V307WCU6,C5142795
USB1,USB-C-SMD_TYPE-C-16PIN,1,TYPE-C 16PIN 2MD(073),C2765186
X1,CRYSTAL-SMD_L5.0-W3.2,1,X50328MSB2GI,C115962
