Designator,Mid X,Mid Y,Rotation,Layer
C1,143.25,-85.0,180.0,top
C10,166.25,-90.9,180.0,top
C11,160.0,-93.75,0.0,top
C12,164.765,-92.7,270.0,top
C13,150.5,-93.775,90.0,top
C14,153.0,-93.8,90.0,top
C15,147.25,-93.0,90.0,top
C16,132.5,-98.25,180.0,top
C17,139.0,-96.0,90.0,top
C18,138.0,-96.0,90.0,top
C19,132.5,-99.25,180.0,top
C2,143.5,-86.5,180.0,top
C20,145.0,-103.0,90.0,top
C21,131.75,-103.02,270.0,top
C22,135.5,-108.5,180.0,top
C23,131.5,-92.75,270.0,top
C24,131.5,-95.75,90.0,top
C25,143.0,-110.75,90.0,top
C3,140.0,-89.0,90.0,top
C4,168.25,-112.25,270.0,top
C5,166.25,-94.7,0.0,top
C6,146.52,-98.25,180.0,top
C7,146.52,-109.75,180.0,top
C8,158.9,-91.0,90.0,top
C9,161.0,-91.0,90.0,top
D1,140.0,-111.5,270.0,top
D2,145.5,-93.1,270.0,top
D3,142.75,-92.0,180.0,top
D4,137.5,-111.5,90.0,top
D5,164.5,-101.5,180.0,top
D6,164.5,-107.25,180.0,top
D7,158.25,-84.5,180.0,top
D8,156.1,-90.0,90.0,top
D9,143.0,-113.5,0.0,top
FB1,165.25,-97.25,90.0,top
FB2,167.25,-97.25,90.0,top
J1,136.0,-83.0,0.0,top
J5,159.0,-116.9125,0.0,top
L1,149.75,-87.75,180.0,top
R1,162.1,-110.75,0.0,top
R10,162.75,-91.5,270.0,top
R13,165.765,-92.7,90.0,top
R14,148.75,-94.765,90.0,top
R15,148.75,-92.75,90.0,top
R16,141.25,-97.0,270.0,top
R17,134.5,-98.75,90.0,top
R18,142.5,-97.0,270.0,top
R19,144.5,-116.74,90.0,top
R2,164.1,-110.75,0.0,top
R20,141.5,-116.74,90.0,top
R3,159.25,-102.25,270.0,top
R4,159.75,-104.25,180.0,top
R5,165.24,-83.5,0.0,top
R6,168.0,-86.75,90.0,top
R7,165.25,-84.5,0.0,top
TR1,153.0,-104.0,270.0,top
U1,142.75,-89.0,180.0,top
U2,164.75,-87.75,90.0,top
U3,138.5,-103.0,225.0,top
USB1,143.0,-121.0,0.0,top
X1,134.0,-94.25,270.0,top
